CODE_CLIENT,RAISON,STATUT_MARITAL,TITRE,TITRE_COEMP,GARANTIE,ASSURANCE,LOGEMENT,TYPE_LOGEMENT,PROFESSION,ENFANTS,ANCIENNETE_BANCAIRE,SALAIRE,SALAIRE_COEMP,NB_PERS,REVENU/TETE,LOYER,AGE,EMPRUNTS_COURANTS,DUREE_EMPRUNT,REMBOURSEMENT,SUCCES
68,Courrier,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Representant,1,5,11057,6034,3,5697,2576,30,0,3,Rapide,N
69,TV,Celibataire,Mlle,Aucun,Non,Oui,Famille,Appartement,Representant,0,2,9600,0,1,9600,0,27,496,4,Lent,N
72,Autre,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Representant,1,2,8304,5870,3,4724,0,55,0,3,Rapide,N
74,Autre,Veuf,Mme,Aucun,Non,Non,Locataire,Appartement,Retraite,0,20,12388,0,1,12388,2696,69,496,3,Rapide,N
78,Courrier,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Representant,1,5,10824,6283,3,5702,2856,28,0,3,Rapide,N
82,Autre,Marie,M.,Mme,Oui,Oui,Locataire,Appartement,Ouvrier,0,21,8529,0,2,4264,688,43,868,3,Rapide,N
84,Autre,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier,1,21,7440,6225,3,4555,1588,47,0,4,Lent,N
88,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Ouvrier,2,7,8400,11208,4,4902,3440,44,248,3,Rapide,N
89,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,4,7,1869,1213,6,513,0,34,0,2,Normal,N
91,TV,Marie,Mme,M.,Oui,Oui,Famille,Maison,Ouvrier,0,18,2366,2115,2,2240,0,31,0,4,Lent,N
92,Autre,Divorce,M.,Aucun,Non,Oui,Famille,Appartement,Ouvrier,0,12,8547,0,1,8547,0,29,402,3,Lent,N
93,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Retraite,0,33,5804,8340,2,7072,0,58,470,3,Lent,N
95,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier,1,21,7453,0,3,2484,2251,48,895,4,Lent,N
97,Autre,Divorce,Mme,Aucun,Non,Non,Famille,Appartement,Enseignant,0,16,13994,0,1,13994,0,46,456,4,Lent,N
99,TV,Celibataire,Mme,Aucun,Non,Non,Proprietaire,Maison,Ouvrier,1,13,25928,0,2,12964,0,26,1360,3,Rapide,N
103,Courrier,Marie,Mme,M.,Oui,Oui,Famille,Appartement,Retraite,0,20,4469,3733,2,4101,0,61,476,4,Lent,N
107,TV,Marie,Mme,M.,Oui,Non,Famille,Maison,Employe,2,15,7899,8086,4,3996,0,47,1019,4,Lent,N
108,TV,Marie,M.,Mme,Oui,Non,Locataire,Maison,Ouvrier,0,3,6720,4468,2,5594,2400,31,558,4,Lent,N
111,Autre,Marie,M.,Aucun,Non,Non,Proprietaire,Appartement,Cadre,0,25,14112,0,1,14112,3760,49,2170,3,Rapide,N
112,Autre,Marie,Mme,M.,Oui,Non,Proprietaire,Maison,Enseignant,2,24,11035,13990,4,6256,4145,39,115,4,Lent,N
114,TV,Celibataire,Mlle,Aucun,Non,Non,Famille,Appartement,Employe de bureau,0,3,6000,0,1,6000,0,24,0,4,Lent,N
117,Autre,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Ouvrier,0,10,4291,4819,2,4555,0,44,0,4,Lent,N
118,TV,Marie,Mme,M.,Oui,Non,Famille,Maison,Chomeur,1,13,0,0,3,0,0,47,0,4,Lent,N
119,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Employe de bureau,2,15,8553,6984,4,3884,4800,32,0,4,Lent,N
120,Autre,Celibataire,Mlle,Aucun,Non,Non,Locataire,Appartement,Ouvrier qualifie,0,3,7987,0,1,7987,1600,38,1488,4,Lent,N
121,Autre,Celibataire,M.,Aucun,Non,Oui,Locataire,Appartement,Ouvrier qualifie,0,8,17184,0,1,17184,1200,50,0,4,Lent,N
127,Autre,Divorce,Mme,Aucun,Non,Non,Locataire,Maison,Cadre,0,25,10944,0,1,10944,3600,48,558,4,Lent,N
132,Autre,Marie,M.,Aucun,Non,Non,Proprietaire,Appartement,Cadre,0,27,13899,0,1,13899,3633,45,2359,3,Rapide,N
136,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Representant,1,12,5528,9363,3,4963,1615,35,614,4,Lent,N
139,Courrier,Celibataire,Mlle,M.,Oui,Non,Locataire,Appartement,Employe de bureau,1,10,3744,6134,3,3292,1040,22,1116,3,Lent,N
141,TV,Marie,Mme,M.,Oui,Non,Famille,Appartement,Retraite,0,41,5102,6768,2,5935,829,64,1679,4,Lent,N
144,Autre,Celibataire,Mme,M.,Oui,Oui,Locataire,Appartement,Employe de bureau,2,2,7680,4449,4,3032,560,25,0,4,Lent,N
146,TV,Celibataire,Mlle,Aucun,Non,Non,Locataire,Maison,Retraite,0,0,5011,0,1,5011,2000,32,0,3,Lent,N
148,TV,Marie,Mme,M.,Oui,Non,Locataire,Maison,Employe,2,18,5760,5116,4,2719,2572,40,0,4,Lent,N
150,Autre,Marie,Mme,M.,Oui,Non,Proprietaire,Maison,Cadre,0,22,10820,5790,2,8305,0,42,1646,3,Lent,N
154,Autre,Marie,M.,Mme,Oui,Non,Locataire,Maison,Employe,1,11,8544,5064,3,4536,1220,29,430,4,Lent,N
156,TV,Marie,Mme,M.,Oui,Non,Locataire,Maison,Representant,0,4,18705,25526,2,22115,0,47,1240,4,Lent,N
159,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Representant,2,13,6052,4428,4,2620,2720,46,0,4,Lent,N
161,TV,Celibataire,Mlle,Aucun,Non,Non,Locataire,Maison,Employe de bureau,0,4,5568,0,1,5568,0,24,979,4,Lent,N
162,TV,Celibataire,Mlle,Aucun,Non,Non,Famille,Appartement,Employe de bureau,1,3,6047,0,2,3023,0,22,0,2,Normal,N
165,TV,Concubin,Mlle,M.,Oui,Non,Locataire,Appartement,Cadre,0,6,8001,6244,2,7122,1548,31,868,1,Rapide,N
166,Autre,Divorce,Mme,Aucun,Non,Non,Famille,Appartement,Enseignant,0,15,12869,0,1,12869,0,50,516,4,Lent,N
171,TV,Concubin,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier qualifie,0,4,6556,6201,2,6378,1200,27,837,1,Rapide,N
172,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Inactif,1,26,5140,6364,3,3834,0,45,1302,4,Lent,N
175,Autre,Celibataire,Mlle,Aucun,Non,Non,Locataire,Appartement,Representant,0,5,6523,0,1,6523,0,25,0,3,Rapide,N
176,TV,Marie,Mme,M.,Oui,Non,Famille,Appartement,Ouvrier,3,5,7059,8820,5,3175,796,39,934,4,Lent,N
178,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,1,18,6107,6366,3,4157,0,40,0,3,Lent,N
182,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Ouvrier qualifie,2,15,10560,7905,4,4616,2000,39,744,4,Lent,N
183,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Ouvrier qualifie,1,7,8532,0,3,2844,0,49,787,4,Lent,N
187,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Appartement,Inactif,0,7,9437,6604,2,8020,0,20,537,3,Rapide,N
190,Autre,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Retraite,0,23,8160,6883,2,7521,0,55,0,1,Rapide,N
192,TV,Marie,Mme,M.,Oui,Non,Locataire,Maison,Employe de bureau,2,15,11640,17078,4,7179,4800,46,0,4,Lent,N
194,Autre,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier qualifie,1,1,7320,7915,3,5078,2364,35,0,4,Lent,N
195,TV,Divorce,M.,Aucun,Non,Oui,Famille,Appartement,Ouvrier,0,7,6393,0,1,6393,0,37,1214,4,Lent,N
198,Autre,Celibataire,Mlle,Aucun,Non,Non,Proprietaire,Maison,Retraite,0,9,5769,0,1,5769,0,59,0,3,Lent,N
199,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Retraite,0,15,25920,14659,2,20289,800,68,620,3,Rapide,N
201,TV,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier qualifie,1,10,10185,0,3,3395,0,36,124,3,Rapide,N
203,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Retraite,1,8,9340,9316,3,6218,0,76,0,2,Normal,N
205,Autre,Divorce,M.,Aucun,Non,Oui,Proprietaire,Appartement,Cadre,0,10,22286,0,1,22286,2320,49,744,4,Lent,N
208,Autre,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Ouvrier,0,10,4291,5836,2,5063,0,44,0,4,Lent,N
210,TV,Marie,M.,M.,Oui,Oui,Famille,Appartement,Representant,1,0,8093,8390,3,5494,0,52,2313,4,Lent,N
212,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Employe,2,12,7320,0,4,1830,1080,50,744,4,Lent,N
213,Autre,Divorce,M.,Aucun,Non,Non,Proprietaire,Maison,Ouvrier,0,18,7237,0,1,7237,2435,34,0,4,Lent,N
215,TV,Veuf,Mme,Aucun,Non,Non,Proprietaire,Maison,Employe de bureau,0,25,6866,0,1,6866,0,45,1623,3,Lent,N
219,Autre,Marie,Mme,M.,Oui,Oui,Locataire,Appartement,Ouvrier qualifie,2,10,9888,6816,4,4176,1760,29,744,4,Lent,N
225,Autre,Veuf,Mme,Aucun,Non,Non,Proprietaire,Appartement,Retraite,1,33,14488,0,2,7244,0,60,2708,4,Lent,N
227,TV,Celibataire,Mlle,Aucun,Non,Non,Famille,Appartement,Cadre,0,4,8211,0,1,8211,0,30,1067,4,Lent,N
229,Autre,Veuf,Mme,Aucun,Non,Oui,Locataire,Appartement,Retraite,0,10,4300,0,1,4300,668,62,0,4,Lent,N
230,TV,Divorce,M.,Aucun,Non,Non,Locataire,Maison,Cadre,0,12,12408,0,1,12408,1520,46,124,4,Lent,N
234,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Employe,3,11,7936,0,5,1587,1087,55,729,2,Normal,N
235,Autre,Marie,Mme,M.,Oui,Non,Proprietaire,Maison,Employe,0,3,5057,7017,2,6037,1724,52,0,3,Lent,N
237,TV,Marie,M.,M.,Oui,Oui,Famille,Appartement,Representant,1,0,7820,7869,3,5229,0,52,2666,4,Lent,N
238,Autre,Marie,M.,Mme,Oui,Non,Locataire,Maison,Ouvrier,2,7,7440,0,4,1860,1096,27,744,4,Lent,N
239,TV,Divorce,Mme,Aucun,Non,Non,Locataire,Appartement,Ouvrier qualifie,1,29,9604,0,2,4802,1360,45,0,4,Lent,N
240,Autre,Marie,M.,Mme,Oui,Oui,Proprietaire,Appartement,Ouvrier,0,15,6479,0,2,3239,1841,42,233,4,Lent,N
241,Autre,Concubin,Mme,M.,Oui,Non,Proprietaire,Maison,Retraite,0,14,3477,4525,2,4001,0,63,0,3,Lent,N
242,Autre,Marie,M.,Mme,Oui,Non,Famille,Appartement,Ouvrier,0,16,6359,4481,2,5420,0,32,0,4,Lent,N
245,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Ouvrier qualifie,2,15,9824,7399,4,4305,1875,41,762,4,Lent,N
246,Autre,Celibataire,Mlle,Aucun,Non,Non,Famille,Maison,Employe de bureau,0,3,7250,0,1,7250,0,30,796,4,Lent,N
247,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Ouvrier,0,32,6020,6843,2,6431,0,56,846,4,Lent,N
248,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Appartement,Retraite,0,4,9413,10175,2,9794,2462,57,961,4,Lent,N
251,Autre,Celibataire,Mlle,Aucun,Non,Non,Famille,Maison,Employe de bureau,0,1,6413,0,1,6413,0,23,814,4,Lent,N
256,Autre,Divorce,M.,Aucun,Non,Oui,Proprietaire,Appartement,Cadre,0,10,20707,0,1,20707,2505,46,769,3,Lent,N
257,TV,Celibataire,M.,Aucun,Non,Non,Locataire,Appartement,Ouvrier,0,10,6144,0,1,6144,0,39,806,3,Rapide,N
262,TV,Concubin,M.,Mlle,Oui,Non,Locataire,Appartement,Employe,1,16,6460,6892,3,4450,972,41,452,4,Lent,N
265,Autre,Celibataire,Mme,Aucun,Non,Non,Famille,Appartement,Retraite,1,22,7322,0,2,3661,0,48,395,3,Rapide,N
266,Autre,Celibataire,Mlle,Aucun,Non,Non,Famille,Maison,Employe de bureau,0,3,7174,0,1,7174,0,29,811,4,Lent,N
271,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Cadre,3,11,7156,5894,5,2610,2240,35,620,4,Lent,N
275,Courrier,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Cadre,2,21,11049,14064,4,6278,1156,26,1339,3,Rapide,N
277,TV,Celibataire,Mme,Aucun,Non,Non,Proprietaire,Maison,Ouvrier,0,13,25149,0,1,25149,0,26,1264,1,Rapide,N
278,TV,Marie,Mme,M.,Oui,Non,Famille,Appartement,Retraite,0,43,5330,6012,2,5671,821,67,1751,4,Lent,N
279,TV,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier,2,5,8126,4819,4,3236,3360,43,0,4,Lent,N
280,Autre,Divorce,Mme,Aucun,Non,Non,Locataire,Appartement,Cadre,2,15,23040,0,3,7680,3200,40,248,4,Lent,N
281,Autre,Celibataire,M.,Aucun,Non,Oui,Famille,Maison,Ouvrier qualifie,0,3,11017,0,1,11017,0,29,1900,1,Rapide,N
282,TV,Celibataire,Mlle,Aucun,Non,Non,Famille,Appartement,Cadre,0,4,7965,0,1,7965,0,31,979,4,Lent,N
283,Autre,Celibataire,M.,Aucun,Non,Non,Locataire,Appartement,Ouvrier qualifie,0,2,8928,0,1,8928,1000,20,0,4,Lent,N
285,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Retraite,0,32,5623,7880,2,6751,0,50,496,4,Lent,N
286,Autre,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier,3,11,6052,6460,5,2502,1120,44,0,4,Lent,N
287,Autre,Celibataire,Mme,Aucun,Non,Non,Locataire,Appartement,Employe de bureau,0,1,9600,0,1,9600,0,44,496,4,Lent,N
288,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Ouvrier,1,15,3744,4915,3,2886,1600,27,155,3,Rapide,N
289,TV,Celibataire,Mlle,Aucun,Non,Oui,Famille,Appartement,Representant,0,2,9334,0,1,9334,0,27,487,4,Lent,N
291,Courrier,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Retraite,0,33,11779,14136,2,12957,2466,59,0,4,Lent,N
292,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Employe,0,8,7529,8987,2,8258,0,44,0,4,Lent,N
293,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Ouvrier qualifie,2,15,10303,8667,4,4742,2099,37,720,4,Lent,N
300,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Representant,3,12,5594,5014,5,2121,2777,40,0,4,Lent,N
303,Autre,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Ouvrier,3,14,5164,5059,5,2044,784,35,248,4,Lent,N
304,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Representant,1,12,6356,8169,3,4841,1737,31,507,4,Lent,N
307,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Appartement,Retraite,0,4,8378,8942,2,8660,2453,62,1005,4,Lent,N
308,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Employe,3,16,5683,5800,5,2296,2030,34,259,4,Lent,N
309,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Appartement,Inactif,0,7,8942,6498,2,7720,0,20,457,3,Rapide,N
311,TV,Veuf,Mme,Aucun,Non,Non,Locataire,Appartement,Retraite,0,1,4464,0,1,4464,1492,68,0,2,Normal,N
312,Courrier,Marie,Mme,M.,Oui,Non,Proprietaire,Maison,Retraite,3,0,7152,10803,5,3591,2047,43,2163,3,Rapide,N
313,TV,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Retraite,0,25,6801,4348,2,5574,1200,64,0,4,Lent,N
314,Autre,Celibataire,Mme,Aucun,Non,Non,Locataire,Appartement,Ouvrier qualifie,0,0,9057,0,1,9057,2000,58,0,4,Lent,N
315,TV,Celibataire,Mlle,Aucun,Non,Non,Famille,Maison,Ouvrier,0,14,6571,0,1,6571,0,35,0,4,Lent,N
317,Autre,Marie,Mme,M.,Oui,Oui,Famille,Appartement,Ouvrier qualifie,0,24,9541,15067,2,12304,0,53,2023,4,Lent,N
318,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Enseignant,2,17,13432,9278,4,5677,4118,52,1178,4,Lent,N
324,Autre,Marie,Mme,M.,Non,Non,Locataire,Maison,Retraite,0,15,4512,6192,2,5352,0,65,0,3,Rapide,N
331,Autre,Marie,M.,Mme,Oui,Non,Famille,Appartement,Ouvrier,0,15,5942,4900,2,5421,0,31,0,4,Lent,N
333,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Cadre,4,10,7258,5685,6,2157,2085,32,568,2,Normal,N
334,TV,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Ouvrier,1,10,8457,6761,3,5072,0,47,727,3,Lent,N
336,TV,Celibataire,Mlle,Aucun,Non,Oui,Famille,Appartement,Representant,0,2,9725,0,1,9725,0,25,530,4,Lent,N
338,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier,2,19,7544,0,4,1886,2178,46,1043,2,Normal,N
340,Autre,Celibataire,Mlle,Aucun,Non,Non,Famille,Maison,Employe de bureau,0,1,6619,0,1,6619,0,24,868,4,Lent,N
341,Autre,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Employe,0,8,8688,13387,2,11037,1520,36,3038,4,Lent,N
342,Autre,Marie,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier qualifie,0,9,13070,0,2,6535,1920,60,0,3,Rapide,N
343,Courrier,Celibataire,Mlle,Aucun,Non,Oui,Famille,Appartement,Ouvrier,0,0,10080,0,1,10080,0,25,0,3,Rapide,N
347,TV,Marie,Mme,M.,Oui,Non,Famille,Maison,Chomeur,1,13,0,0,3,0,0,47,0,4,Lent,N
352,TV,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Ouvrier,2,9,5692,6100,4,2948,1196,27,868,3,Lent,N
354,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Employe de bureau,2,16,7547,5913,4,3365,2509,36,0,4,Lent,N
356,Autre,Divorce,M.,Aucun,Non,Oui,Famille,Appartement,Ouvrier,0,14,8066,0,1,8066,0,33,362,4,Lent,N
357,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Employe de bureau,1,12,7392,6755,3,4715,3241,41,799,4,Lent,N
358,TV,Marie,Mme,M.,Oui,Non,Locataire,Maison,Enseignant,0,17,5126,6489,2,5807,4880,45,1736,4,Lent,N
364,TV,Separe,Mme,Aucun,Non,Non,Locataire,Appartement,Ouvrier qualifie,0,2,10334,0,1,10334,0,46,1240,4,Lent,N
368,Autre,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Employe,0,23,9292,0,2,4646,1067,43,2213,4,Lent,N
374,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Representant,0,17,5760,6667,2,6213,800,50,1674,4,Lent,N
380,TV,Marie,Mme,M.,Oui,Non,Locataire,Maison,Ouvrier,2,6,5827,5131,4,2739,2640,34,372,4,Lent,N
382,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Employe,2,3,6264,8895,4,3789,2479,30,0,4,Lent,N
386,Autre,Celibataire,Mlle,Aucun,Non,Non,Proprietaire,Maison,Retraite,0,10,5592,0,1,5592,0,62,0,4,Lent,N
388,Autre,Celibataire,M.,Aucun,Non,Non,Locataire,Appartement,Ouvrier,0,6,6494,0,1,6494,0,23,744,4,Lent,N
390,Autre,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Representant,3,13,6444,4297,5,2148,3188,41,0,4,Lent,N
391,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Representant,0,25,5649,6513,2,6081,0,43,372,4,Lent,N
392,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Employe,0,8,7586,9011,2,8298,0,46,0,3,Lent,N
393,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier qualifie,0,10,8640,12945,2,10792,1600,50,223,4,Lent,N
395,TV,Marie,Mme,M.,Oui,Oui,Proprietaire,Appartement,Enseignant,2,15,29103,40718,4,17455,1731,34,0,1,Rapide,N
397,Autre,Concubin,M.,Mme,Oui,Non,Locataire,Appartement,Ouvrier,0,8,5568,6115,2,5841,0,64,744,4,Lent,N
398,Autre,Marie,M.,Mme,Oui,Non,Locataire,Maison,Retraite,0,0,7353,4214,2,5783,0,61,0,3,Rapide,N
399,TV,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Ouvrier qualifie,2,6,8496,6110,4,3651,3196,29,0,1,Rapide,N
401,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Representant,2,11,4646,6062,4,2677,2080,32,1426,4,Lent,N
409,Autre,Marie,M.,Mme,Oui,Non,Locataire,Maison,Employe de bureau,2,2,10560,6369,4,4232,0,39,911,4,Lent,N
415,Courrier,Celibataire,Mlle,Aucun,Non,Oui,Famille,Appartement,Ouvrier,1,0,10623,0,2,5311,0,24,0,2,Normal,N
416,Autre,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Representant,1,10,9163,5654,3,4939,1600,47,1850,4,Lent,N
419,Courrier,Marie,Mme,M.,Oui,Oui,Proprietaire,Maison,Ouvrier,3,7,3791,5979,5,1954,2089,44,171,4,Lent,N
420,TV,Marie,M.,Mme,Oui,Oui,Proprietaire,Maison,Ouvrier qualifie,1,8,9187,5731,3,4972,3280,37,372,4,Lent,N
421,Autre,Concubin,Mme,M.,Oui,Non,Locataire,Appartement,Employe de bureau,2,3,7027,6283,4,3327,0,43,992,1,Rapide,N
422,Autre,Marie,Mme,M.,Oui,Non,Locataire,Maison,Employe,1,17,6926,5606,3,4177,3680,35,0,4,Lent,N
425,Autre,Celibataire,M.,Aucun,Non,Non,Famille,Maison,Inactif,0,18,3159,0,1,3159,0,32,0,3,Rapide,N
426,Autre,Marie,Mme,M.,Oui,Non,Proprietaire,Appartement,Employe de bureau,0,20,4137,2457,2,3297,2552,44,1035,4,Lent,N
430,TV,Veuf,Mme,Aucun,Non,Non,Locataire,Appartement,Retraite,1,0,6144,0,2,3072,0,62,279,4,Lent,N
436,TV,Marie,Mme,M.,Oui,Non,Locataire,Appartement,Retraite,0,19,8049,5745,2,6897,0,62,0,3,Rapide,N
438,Autre,Marie,M.,Mme,Non,Non,Locataire,Appartement,Ouvrier,0,20,7704,5424,2,6564,1040,51,744,4,Lent,N
440,Autre,Marie,M.,Mme,Oui,Non,Locataire,Maison,Representant,1,4,9259,0,3,3086,2080,41,372,4,Lent,N
444,Autre,Marie,Mme,Mme,Oui,Oui,Proprietaire,Maison,Retraite,0,6,3863,0,2,1931,0,64,0,4,Lent,N
446,Courrier,Marie,M.,Mme,Oui,Non,Proprietaire,Maison,Retraite,0,31,10793,14552,2,12672,2759,66,0,4,Lent,N
